"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 21 00:02:45 IST 2020","Sat Nov 21 00:03:30 IST 2020","45711","","Verifying feature search and reverse geocode","","Verifying feature search and reverse geocode","Should feature search and reverse geocode search","Should feature search and reverse geocode search",""
"passed","Mon Jan 25 23:07:06 IST 2021","Mon Jan 25 23:07:17 IST 2021","10785","","Verifying legend components","","Verifying legend components","Should verify legend layer Work Order Points","Should verify legend layer Work Order Points",""
"passed","Mon Nov 23 19:27:41 IST 2020","Mon Nov 23 19:27:56 IST 2020","14299","","Verifying print functionality","","Verifying print functionality","Should display a new pdf tab for print","Should display a new pdf tab for print",""
"passed","Fri Nov 20 22:53:29 IST 2020","Fri Nov 20 22:53:53 IST 2020","23432","","Verifying Google StreetView","","Verifying Google StreetView","Should verify Google streetview","Should verify Google streetview",""
"passed","Mon Nov 23 20:13:11 IST 2020","Mon Nov 23 20:13:57 IST 2020","45612","","Verifying measure functionality","","Verifying measure functionality","Measure area, linear distance and location","Measure area, linear distance and location",""
"passed","Mon Nov 23 20:21:58 IST 2020","Mon Nov 23 20:22:12 IST 2020","14028","","Validate UGI project card selected","","Validate UGI project card selected","Login to testfieldbook","Login to testfieldbook",""
"passed","Mon Nov 23 19:17:12 IST 2020","Mon Nov 23 19:17:41 IST 2020","29007","","Verifying identify functionality","","Verifying identify functionality","Identify functionality for division locations","Identify functionality for division locations",""
"passed","Fri Nov 20 22:41:59 IST 2020","Fri Nov 20 22:43:07 IST 2020","68345","","Verifying basemap components","","Verifying basemap components","Should verify different components of the basemap","Should verify different components of the basemap",""
